name,epic,yahoo_ticker,sector,fiscal_year,currency,revenue,gross_profit,operating_income,net_income,gross_margin,operating_margin,net_margin,retrieved_at
4imprint,FOUR,FOUR.L,Media,2022,USD,1140300000.0,392900000.0,108000000.0,80100000.0,0.3446,0.0947,0.0702,2026-08-10
4imprint,FOUR,FOUR.L,Media,2023,USD,1326500000.0,401900000.0,136200000.0,106200000.0,0.303,0.1027,0.0801,2026-08-10
4imprint,FOUR,FOUR.L,Media,2024,USD,1367900000.0,435400000.0,148100000.0,117200000.0,0.3183,0.1083,0.0857,2026-08-10
4imprint,FOUR,FOUR.L,Media,2025,USD,1346800000.0,436000000.0,145200000.0,113600000.0,0.3237,0.1078,0.0843,2026-08-10
A.G. Barr,BAG,BAG.L,Beverages,2023,GBP,317600000.0,128100000.0,44000000.0,33900000.0,0.4033,0.1385,0.1067,2026-08-10
A.G. Barr,BAG,BAG.L,Beverages,2024,GBP,400000000.0,154200000.0,50100000.0,38500000.0,0.3855,0.1253,0.0963,2026-08-10
A.G. Barr,BAG,BAG.L,Beverages,2025,GBP,420400000.0,164300000.0,51700000.0,39700000.0,0.3908,0.123,0.0944,2026-08-10
A.G. Barr,BAG,BAG.L,Beverages,2026,GBP,437300000.0,177300000.0,61600000.0,47100000.0,0.4054,0.1409,0.1077,2026-08-10
AEP Plantations,AEP,AEP.L,Food Producers,2022,USD,447619000.0,137403000.0,127110000.0,88916000.0,0.307,0.284,0.1986,2026-08-10
AEP Plantations,AEP,AEP.L,Food Producers,2023,USD,370435000.0,78007000.0,69702000.0,53225000.0,0.2106,0.1882,0.1437,2026-08-10
AEP Plantations,AEP,AEP.L,Food Producers,2024,USD,372263000.0,88622000.0,81187000.0,67514000.0,0.2381,0.2181,0.1814,2026-08-10
AEP Plantations,AEP,AEP.L,Food Producers,2025,USD,465211000.0,123821000.0,111854000.0,90882000.0,0.2662,0.2404,0.1954,2026-08-10
AJ Bell,AJB,AJB.L,Financial Services,2022,GBP,163847000.0,,58981000.0,46739000.0,,0.36,0.2853,2026-08-10
AJ Bell,AJB,AJB.L,Financial Services,2023,GBP,218234000.0,,86220000.0,68219000.0,,0.3951,0.3126,2026-08-10
AJ Bell,AJB,AJB.L,Financial Services,2024,GBP,269435000.0,,113517000.0,84295000.0,,0.4213,0.3129,2026-08-10
AJ Bell,AJB,AJB.L,Financial Services,2025,GBP,317847000.0,,133098000.0,105121000.0,,0.4187,0.3307,2026-08-10
AO World,AO,AO.L,Retail,2023,GBP,1138600000.0,238200000.0,12500000.0,-2600000.0,0.2092,0.011,-0.0023,2026-08-10
AO World,AO,AO.L,Retail,2024,GBP,1039300000.0,243300000.0,35600000.0,24700000.0,0.2341,0.0343,0.0238,2026-08-10
AO World,AO,AO.L,Retail,2025,GBP,1137600000.0,276000000.0,40500000.0,10500000.0,0.2426,0.0356,0.0092,2026-08-10
AO World,AO,AO.L,Retail,2026,GBP,1266500000.0,316100000.0,49300000.0,35900000.0,0.2496,0.0389,0.0283,2026-08-10
Aberdeen Group,ABDN,ABDN.L,Financial Services,2022,GBP,1392000000.0,,,-547000000.0,,,-0.393,2026-08-10
Aberdeen Group,ABDN,ABDN.L,Financial Services,2023,GBP,1448000000.0,,,12000000.0,,,0.0083,2026-08-10
Aberdeen Group,ABDN,ABDN.L,Financial Services,2024,GBP,1529000000.0,,,248000000.0,,,0.1622,2026-08-10
Aberdeen Group,ABDN,ABDN.L,Financial Services,2025,GBP,1745000000.0,,,399000000.0,,,0.2287,2026-08-10
Alfa Financial Software,ALFA,ALFA.L,Software and Computer Services,2022,GBP,93300000.0,59900000.0,29600000.0,24500000.0,0.642,0.3173,0.2626,2026-08-10
Alfa Financial Software,ALFA,ALFA.L,Software and Computer Services,2023,GBP,102000000.0,63700000.0,30100000.0,23500000.0,0.6245,0.2951,0.2304,2026-08-10
Alfa Financial Software,ALFA,ALFA.L,Software and Computer Services,2024,GBP,109900000.0,70900000.0,34300000.0,25600000.0,0.6451,0.3121,0.2329,2026-08-10
Alfa Financial Software,ALFA,ALFA.L,Software and Computer Services,2025,GBP,126700000.0,80700000.0,40100000.0,30100000.0,0.6369,0.3165,0.2376,2026-08-10
Applied Nutrition,APN,APN.L,Food Producers,2022,GBP,35028000.0,14078000.0,9945000.0,8206000.0,0.4019,0.2839,0.2343,2026-08-10
Applied Nutrition,APN,APN.L,Food Producers,2023,GBP,60781000.0,27146000.0,17908000.0,13819000.0,0.4466,0.2946,0.2274,2026-08-10
Applied Nutrition,APN,APN.L,Food Producers,2024,GBP,86200000.0,41300000.0,23700000.0,18700000.0,0.4791,0.2749,0.2169,2026-08-10
Applied Nutrition,APN,APN.L,Food Producers,2025,GBP,107100000.0,49300000.0,28100000.0,21100000.0,0.4603,0.2624,0.197,2026-08-10
Ashmore Group,ASHM,ASHM.L,Financial Services,2022,GBP,254400000.0,232300000.0,168900000.0,88500000.0,0.9131,0.6639,0.3479,2026-08-10
Ashmore Group,ASHM,ASHM.L,Financial Services,2023,GBP,193200000.0,169200000.0,97000000.0,83300000.0,0.8758,0.5021,0.4312,2026-08-10
Ashmore Group,ASHM,ASHM.L,Financial Services,2024,GBP,189000000.0,164000000.0,71900000.0,93700000.0,0.8677,0.3804,0.4958,2026-08-10
Ashmore Group,ASHM,ASHM.L,Financial Services,2025,GBP,144400000.0,120600000.0,43700000.0,81200000.0,0.8352,0.3026,0.5623,2026-08-10
Aston Martin Lagonda,AML,AML.L,Automobiles & Parts,2022,GBP,1381500000.0,450700000.0,-117900000.0,-528600000.0,0.3262,-0.0853,-0.3826,2026-08-10
Aston Martin Lagonda,AML,AML.L,Automobiles & Parts,2023,GBP,1632800000.0,639200000.0,-77100000.0,-228100000.0,0.3915,-0.0472,-0.1397,2026-08-10
Aston Martin Lagonda,AML,AML.L,Automobiles & Parts,2024,GBP,1583900000.0,583900000.0,-82700000.0,-323500000.0,0.3686,-0.0522,-0.2042,2026-08-10
Aston Martin Lagonda,AML,AML.L,Automobiles & Parts,2025,GBP,1257700000.0,369800000.0,-189100000.0,-493200000.0,0.294,-0.1504,-0.3921,2026-08-10
Atalaya Mining,ATYM,ATYM.L,Industrial Metals and Mining,2022,EUR,361846000.0,39452000.0,21195000.0,33155000.0,0.109,0.0586,0.0916,2026-08-10
Atalaya Mining,ATYM,ATYM.L,Industrial Metals and Mining,2023,EUR,340346000.0,55916000.0,35300000.0,38769000.0,0.1643,0.1037,0.1139,2026-08-10
Atalaya Mining,ATYM,ATYM.L,Industrial Metals and Mining,2024,EUR,326797000.0,49396000.0,29739000.0,31738000.0,0.1512,0.091,0.0971,2026-08-10
Atalaya Mining,ATYM,ATYM.L,Industrial Metals and Mining,2025,EUR,482915000.0,154406000.0,132236000.0,85577000.0,0.3197,0.2738,0.1772,2026-08-10
Avon Technologies,AVON,AVON.L,Industrial Goods and Services,2022,USD,263500000.0,88900000.0,11000000.0,-7600000.0,0.3374,0.0417,-0.0288,2026-08-10
Avon Technologies,AVON,AVON.L,Industrial Goods and Services,2023,USD,243800000.0,85900000.0,-12600000.0,-14400000.0,0.3523,-0.0517,-0.0591,2026-08-10
Avon Technologies,AVON,AVON.L,Industrial Goods and Services,2024,USD,275000000.0,105800000.0,10700000.0,3000000.0,0.3847,0.0389,0.0109,2026-08-10
Avon Technologies,AVON,AVON.L,Industrial Goods and Services,2025,USD,313900000.0,128700000.0,19200000.0,10300000.0,0.41,0.0612,0.0328,2026-08-10
B&M,BME,BME.L,Retailers,2023,GBP,4983000000.0,1801000000.0,536000000.0,348000000.0,0.3614,0.1076,0.0698,2026-08-10
B&M,BME,BME.L,Retailers,2024,GBP,5484000000.0,2035000000.0,608000000.0,367000000.0,0.3711,0.1109,0.0669,2026-08-10
B&M,BME,BME.L,Retailers,2025,GBP,5571000000.0,2092000000.0,566000000.0,319000000.0,0.3755,0.1016,0.0573,2026-08-10
B&M,BME,BME.L,Retailers,2026,GBP,5775000000.0,2105000000.0,374000000.0,164000000.0,0.3645,0.0648,0.0284,2026-08-10
Balfour Beatty,BBY,BBY.L,Construction & Materials,2022,GBP,7629000000.0,427000000.0,170000000.0,288000000.0,0.056,0.0223,0.0378,2026-08-10
Balfour Beatty,BBY,BBY.L,Construction & Materials,2023,GBP,7993000000.0,400000000.0,134000000.0,197000000.0,0.05,0.0168,0.0246,2026-08-10
